dock_func,plp,plp,plp,plp,asp,asp,asp,asp,chemscore,chemscore,chemscore,chemscore,goldscore,goldscore,goldscore,goldscore
rescore_func,plp,asp,chemscore,goldscore,plp,asp,chemscore,goldscore,plp,asp,chemscore,goldscore,plp,asp,chemscore,goldscore
origin,,,,,,,,,,,,,,,,
fhm1,55.0 [2.0],51.0 [1.0],55.0 [3.0],59.0 [1.0],51.0 [1.0],44.0 [1.0],50.0 [2.0],52.0 [1.0],56.0 [2.0],50.0 [1.0],47.0 [1.0],58.0 [2.0],57.0 [2.0],52.0 [1.0],57.0 [1.0],48.0 [1.0]
gold,58.0 [1.0],54.0 [2.0],56.0 [1.0],60.0 [1.0],52.0 [1.0],44.0 [0.0],50.0 [2.0],53.0 [1.0],58.0 [0.0],51.0 [2.0],49.0 [1.0],58.0 [2.0],58.0 [1.0],53.0 [2.0],58.0 [2.0],49.0 [1.0]
